site,campaign,groups,NPOC,BDOC,CDOC,HMWS_C,humic_like_substance_C,LMWS_C,HMWS_N,HS,SUVA_HS,SUVA_ges,
Aguilar,apr,MedAlt,3.73,3.393,3.371,0.305,2.679,0.386,0.03,0.129,4.5,3.5,3.37
Arlanzon,apr,TempAlt,1.84,2,1.965,0.118,1.509,0.338,0.03,0.067,3.75,3.1,1.965
Bernesga,apr,TempNat,0.7,0.761,0.75,"<0,1",0.597,0.116,0.01,0.02,4.6,4.2,#WERT!
Carrion,apr,MedAlt,0.45,0.602,0.606,"<0,1",0.468,0.1,"<0,01",0.02,3.9,3.8,#WERT!
Cea,apr,MedNat,1.17,1.286,1.25,"<0,1",0.989,0.198,"<0,01",0.03,3.7,3.4,#WERT!
Curueno,apr,TempNat,0.91,0.868,0.831,"<0,1",0.688,0.104,0.02,0.2,4.5,3.8,#WERT!
Deva,apr,TempNat,0.68,0.77,0.742,"<0,1",0.607,0.102,,,4.15,3.4,#WERT!
Duero,apr,MedAlt,4.22,4.714,4.71,0.226,3.785,0.697,0.03,0.1,3.9,3.4,4.708
Ebro,apr,MedAlt,4.99,4.77,4.725,0.215,3.977,0.532,0.049,0.179,4.5,3.8,4.724
Ega,apr,MedNat,3.56,3.886,3.97,0.128,3.465,0.378,0.02,0.14,4.3,3.9,3.971
Esla,apr,TempAlt,0.99,0.97,0.9,"<0,1",0.74,0.138,0.01,0.035,3.5,3.2,#WERT!
Luna,apr,MedAlt,0.86,1.058,1.059,"<0,1",0.834,0.152,0.02,0.033,4.28,3.7,#WERT!
Nalon,apr,TempAlt,0.76,0.86,0.895,"<0,1",0.764,0.1,"<0,01",0.03,4.9,4.4,#WERT!
Nansa,apr,TempAlt,2.38,2.529,2.543,0.152,2.158,0.233,0.1,0.06,5.2,4.4,2.543
Narcea,apr,TempAlt,0.97,1.08,1.031,"<0,1",0.796,0.185,"<0,01",0.037,4.66,3.9,#WERT!
Omana,apr,MedNat,1.11,1.302,1.295,"<0,1",1.051,0.169,"<0,01",0.04,4.5,4,#WERT!
Pisuerga,apr,MedAlt,1.55,1.655,1.632,"<0,1",1.324,0.218,0.016,0.044,4.3,3.7,#WERT!
Porma,apr,TempAlt,1.25,1.19,1.122,"<0,1",0.92,0.144,0.017,0.041,4.3,3.6,#WERT!
Sella,apr,TempNat,0.88,1.1,1.08,"<0,1",0.9,0.12,"<0,01",0.02,4.7,4,#WERT!
Tiron,apr,MedNat,0.86,1.06,0.992,"<0,1",0.834,0.133,"<0,01",0.017,3.66,3.2,#WERT!
Aguilar,aug,MedAlt,1.76925,1.7,1.77,"<0,1",1.2,0.45,0.01,0.06,3.9,4.1,#WERT!
Arlanzon,aug,TempAlt,1.4283,1.3,1.3,"<0,1",0.93,0.27,0.02,0.03,4.1,4,#WERT!
Bernesga,aug,TempNat,0.59565,0.6,0.55,"<0,1",0.38,"<0,1",0.01,"<0,01",4.1,5.7,#WERT!
